participant_id,interfaceId,interfaceOrder001,interfaceOrder002,setId,setOrder001,setOrder002,phaseId,sameParent,time,correct
2,0,0,1,1,1,0,1,TRUE,1422,TRUE
2,0,0,1,1,1,0,1,FALSE,2088,TRUE
2,0,0,1,1,1,0,1,FALSE,5628,TRUE
2,0,0,1,1,1,0,1,TRUE,1334,TRUE
2,0,0,1,1,1,0,1,FALSE,8225,TRUE
2,0,0,1,1,1,0,1,FALSE,3772,TRUE
2,1,0,1,0,1,0,0,FALSE,3010,TRUE
2,1,0,1,0,1,0,0,TRUE,1370,TRUE
2,1,0,1,0,1,0,0,TRUE,1501,TRUE
2,1,0,1,0,1,0,0,FALSE,1983,TRUE
2,1,0,1,0,1,0,0,FALSE,2398,TRUE
2,1,0,1,0,1,0,0,FALSE,2326,FALSE
2,1,0,1,0,1,0,0,FALSE,1524,TRUE
2,1,0,1,0,1,0,0,FALSE,1842,TRUE
2,1,0,1,0,1,0,0,FALSE,2732,TRUE
2,1,0,1,0,1,0,0,FALSE,1451,TRUE
2,1,0,1,0,1,0,0,FALSE,1789,TRUE
2,1,0,1,0,1,0,0,TRUE,1586,TRUE
2,1,0,1,0,1,0,0,FALSE,1284,TRUE
2,1,0,1,0,1,0,0,FALSE,1706,TRUE
2,1,0,1,0,1,0,0,FALSE,3614,TRUE
2,1,0,1,0,1,0,0,FALSE,1824,TRUE
2,1,0,1,0,1,0,0,TRUE,1709,TRUE
2,1,0,1,0,1,0,0,FALSE,3809,TRUE
2,1,0,1,0,1,0,1,FALSE,1628,TRUE
2,1,0,1,0,1,0,1,FALSE,2965,TRUE
2,1,0,1,0,1,0,1,FALSE,1654,TRUE
2,1,0,1,0,1,0,1,FALSE,1532,TRUE
2,1,0,1,0,1,0,1,FALSE,1496,TRUE
2,1,0,1,0,1,0,1,FALSE,1580,TRUE
2,1,0,1,0,1,0,1,TRUE,1342,TRUE
2,1,0,1,0,1,0,1,FALSE,1986,TRUE
2,1,0,1,0,1,0,1,FALSE,1692,TRUE
2,1,0,1,0,1,0,1,FALSE,1688,TRUE
2,1,0,1,0,1,0,1,FALSE,1196,TRUE
2,1,0,1,0,1,0,1,FALSE,1537,TRUE
2,1,0,1,0,1,0,1,TRUE,1395,TRUE
2,1,0,1,0,1,0,1,FALSE,1548,TRUE
2,1,0,1,0,1,0,1,FALSE,1904,TRUE
2,1,0,1,0,1,0,1,FALSE,1222,TRUE
2,1,0,1,0,1,0,1,TRUE,2094,TRUE
2,1,0,1,0,1,0,1,FALSE,1278,TRUE
2,1,0,1,0,1,0,1,FALSE,1784,TRUE
2,1,0,1,0,1,0,1,FALSE,1532,TRUE
2,1,0,1,0,1,0,1,FALSE,1217,TRUE
2,1,0,1,0,1,0,1,TRUE,1535,TRUE
2,1,0,1,0,1,0,1,FALSE,1280,TRUE
2,1,0,1,0,1,0,1,TRUE,1417,TRUE
2,1,0,1,0,1,0,1,FALSE,2388,TRUE
2,1,0,1,0,1,0,1,FALSE,1310,TRUE
2,1,0,1,0,1,0,1,FALSE,1546,TRUE
2,1,0,1,0,1,0,1,TRUE,2418,TRUE
2,1,0,1,0,1,0,1,TRUE,1539,TRUE
2,1,0,1,0,1,0,1,FALSE,1460,TRUE
2,1,0,1,0,1,0,1,FALSE,1374,TRUE
2,1,0,1,0,1,0,1,FALSE,1597,TRUE
2,1,0,1,0,1,0,1,FALSE,1142,TRUE
2,1,0,1,0,1,0,1,FALSE,1456,TRUE
2,1,0,1,0,1,0,1,FALSE,1428,TRUE
2,1,0,1,0,1,0,1,FALSE,1854,TRUE
3,1,1,0,0,0,1,0,FALSE,42671,FALSE
3,1,1,0,0,0,1,0,FALSE,15966,TRUE
3,1,1,0,0,0,1,0,FALSE,7479,TRUE
3,1,1,0,0,0,1,0,FALSE,10456,FALSE
3,1,1,0,0,0,1,0,TRUE,4928,TRUE
3,1,1,0,0,0,1,0,FALSE,4776,TRUE
3,1,1,0,0,0,1,0,FALSE,4919,TRUE
3,1,1,0,0,0,1,0,FALSE,3488,TRUE
3,1,1,0,0,0,1,0,FALSE,6568,FALSE
3,1,1,0,0,0,1,0,FALSE,5479,TRUE
3,1,1,0,0,0,1,0,FALSE,7383,TRUE
3,1,1,0,0,0,1,0,FALSE,3679,TRUE
3,1,1,0,0,0,1,0,FALSE,2560,TRUE
3,1,1,0,0,0,1,0,FALSE,2223,TRUE
3,1,1,0,0,0,1,0,FALSE,2576,TRUE
3,1,1,0,0,0,1,0,FALSE,3360,TRUE
3,1,1,0,0,0,1,0,FALSE,4359,TRUE
3,1,1,0,0,0,1,0,FALSE,2544,TRUE
3,1,1,0,0,0,1,1,FALSE,3976,TRUE
3,1,1,0,0,0,1,1,FALSE,3095,TRUE
3,1,1,0,0,0,1,1,FALSE,2200,TRUE
3,1,1,0,0,0,1,1,TRUE,2600,TRUE
3,1,1,0,0,0,1,1,FALSE,2160,TRUE
3,1,1,0,0,0,1,1,TRUE,2152,TRUE
3,1,1,0,0,0,1,1,TRUE,2575,TRUE
3,1,1,0,0,0,1,1,TRUE,2551,TRUE
3,1,1,0,0,0,1,1,FALSE,2296,TRUE
3,1,1,0,0,0,1,1,FALSE,2759,TRUE
3,1,1,0,0,0,1,1,FALSE,2504,TRUE
3,1,1,0,0,0,1,1,FALSE,2927,TRUE
3,1,1,0,0,0,1,1,TRUE,2455,TRUE
3,1,1,0,0,0,1,1,FALSE,2528,TRUE
3,1,1,0,0,0,1,1,TRUE,2144,TRUE
3,1,1,0,0,0,1,1,TRUE,2384,TRUE
3,1,1,0,0,0,1,1,FALSE,2599,TRUE
3,1,1,0,0,0,1,1,FALSE,2543,TRUE
3,1,1,0,0,0,1,1,FALSE,2416,TRUE
3,1,1,0,0,0,1,1,FALSE,2124,TRUE
3,1,1,0,0,0,1,1,FALSE,2447,TRUE
3,1,1,0,0,0,1,1,FALSE,2712,TRUE
3,1,1,0,0,0,1,1,TRUE,2327,TRUE
3,1,1,0,0,0,1,1,FALSE,2256,TRUE
3,1,1,0,0,0,1,1,FALSE,2688,TRUE
3,1,1,0,0,0,1,1,FALSE,1816,TRUE
3,1,1,0,0,0,1,1,FALSE,1936,TRUE
3,1,1,0,0,0,1,1,TRUE,2551,TRUE
3,1,1,0,0,0,1,1,FALSE,2840,TRUE
3,1,1,0,0,0,1,1,FALSE,2159,TRUE
3,1,1,0,0,0,1,1,TRUE,2136,TRUE
3,1,1,0,0,0,1,1,FALSE,2759,TRUE
3,1,1,0,0,0,1,1,FALSE,2231,TRUE
3,1,1,0,0,0,1,1,FALSE,1768,TRUE
3,1,1,0,0,0,1,1,TRUE,2472,TRUE
3,1,1,0,0,0,1,1,FALSE,2479,TRUE
3,0,1,0,1,0,1,0,FALSE,30423,TRUE
3,0,1,0,1,0,1,0,FALSE,73375,FALSE
3,0,1,0,1,0,1,0,TRUE,3160,TRUE
3,0,1,0,1,0,1,0,FALSE,36456,FALSE
3,0,1,0,1,0,1,0,FALSE,19680,FALSE
3,0,1,0,1,0,1,0,FALSE,14951,TRUE
3,0,1,0,1,0,1,0,FALSE,31767,FALSE
3,0,1,0,1,0,1,0,FALSE,5592,TRUE
3,0,1,0,1,0,1,0,FALSE,22839,FALSE
3,0,1,0,1,0,1,0,TRUE,13848,FALSE
3,0,1,0,1,0,1,0,FALSE,4728,TRUE
3,0,1,0,1,0,1,0,TRUE,2504,TRUE
3,0,1,0,1,0,1,0,TRUE,2271,TRUE
3,0,1,0,1,0,1,0,TRUE,2487,TRUE
3,0,1,0,1,0,1,0,TRUE,3279,TRUE
3,0,1,0,1,0,1,0,FALSE,7192,TRUE
3,0,1,0,1,0,1,0,FALSE,5327,TRUE
3,0,1,0,1,0,1,0,FALSE,6384,TRUE
3,0,1,0,1,0,1,1,FALSE,7086,TRUE
3,0,1,0,1,0,1,1,FALSE,4528,TRUE
3,0,1,0,1,0,1,1,FALSE,4328,TRUE
3,0,1,0,1,0,1,1,TRUE,1887,TRUE
3,0,1,0,1,0,1,1,TRUE,2231,TRUE
3,0,1,0,1,0,1,1,FALSE,4767,TRUE
3,0,1,0,1,0,1,1,FALSE,3998,TRUE
3,0,1,0,1,0,1,1,FALSE,4695,TRUE
3,0,1,0,1,0,1,1,FALSE,3071,TRUE
3,0,1,0,1,0,1,1,TRUE,2992,TRUE
3,0,1,0,1,0,1,1,FALSE,4895,TRUE
3,0,1,0,1,0,1,1,FALSE,4295,TRUE
3,0,1,0,1,0,1,1,TRUE,2367,TRUE
3,0,1,0,1,0,1,1,TRUE,2536,TRUE
3,0,1,0,1,0,1,1,FALSE,5016,TRUE
3,0,1,0,1,0,1,1,TRUE,2430,TRUE
3,0,1,0,1,0,1,1,FALSE,9215,FALSE
3,0,1,0,1,0,1,1,FALSE,5360,TRUE
3,0,1,0,1,0,1,1,FALSE,3983,TRUE
3,0,1,0,1,0,1,1,TRUE,1720,TRUE
3,0,1,0,1,0,1,1,FALSE,4327,TRUE
3,0,1,0,1,0,1,1,FALSE,7391,FALSE
3,0,1,0,1,0,1,1,FALSE,4328,TRUE
3,0,1,0,1,0,1,1,FALSE,4552,TRUE
3,0,1,0,1,0,1,1,TRUE,2263,TRUE
3,0,1,0,1,0,1,1,FALSE,4351,TRUE
3,0,1,0,1,0,1,1,TRUE,1952,TRUE
3,0,1,0,1,0,1,1,TRUE,2064,TRUE
3,0,1,0,1,0,1,1,FALSE,6047,TRUE
3,0,1,0,1,0,1,1,FALSE,5784,FALSE
3,0,1,0,1,0,1,1,FALSE,4247,TRUE
3,0,1,0,1,0,1,1,FALSE,5463,TRUE
3,0,1,0,1,0,1,1,FALSE,3711,TRUE
3,0,1,0,1,0,1,1,FALSE,4742,TRUE
3,0,1,0,1,0,1,1,FALSE,4128,TRUE
3,0,1,0,1,0,1,1,FALSE,3823,TRUE
4,1,1,0,1,1,0,0,FALSE,16973,TRUE
4,1,1,0,1,1,0,0,FALSE,10854,TRUE
4,1,1,0,1,1,0,0,FALSE,10391,TRUE
4,1,1,0,1,1,0,0,TRUE,3695,TRUE
4,1,1,0,1,1,0,0,TRUE,4303,TRUE
4,1,1,0,1,1,0,0,FALSE,4399,TRUE
4,1,1,0,1,1,0,0,FALSE,4791,TRUE
4,1,1,0,1,1,0,0,FALSE,3663,TRUE
4,1,1,0,1,1,0,0,FALSE,5095,TRUE
4,1,1,0,1,1,0,0,TRUE,5335,TRUE
4,1,1,0,1,1,0,0,FALSE,3589,TRUE
4,1,1,0,1,1,0,0,FALSE,3215,TRUE
4,1,1,0,1,1,0,0,FALSE,2967,TRUE
4,1,1,0,1,1,0,0,FALSE,2471,TRUE
4,1,1,0,1,1,0,0,FALSE,2503,TRUE
4,1,1,0,1,1,0,0,FALSE,2575,TRUE
4,1,1,0,1,1,0,0,FALSE,6063,TRUE
4,1,1,0,1,1,0,0,FALSE,2887,TRUE
4,1,1,0,1,1,0,1,FALSE,2535,TRUE
4,1,1,0,1,1,0,1,TRUE,2119,TRUE
4,1,1,0,1,1,0,1,FALSE,2199,TRUE
4,1,1,0,1,1,0,1,FALSE,2071,TRUE
4,1,1,0,1,1,0,1,FALSE,4207,TRUE
4,1,1,0,1,1,0,1,FALSE,2047,TRUE
4,1,1,0,1,1,0,1,FALSE,2343,TRUE
4,1,1,0,1,1,0,1,FALSE,2543,TRUE
